member_id,list_name,constituency,party,date_of_birth,gender,first_start_date,days_service
4481,"Chalk, Alex",Cheltenham,Conservative,,M,2015-05-07,0
4267,"Champion, Sarah",Rotherham,Labour,,F,2012-11-29,851
4402,"Chapman, Douglas",Dunfermline and West Fife,Scottish National Party,,M,2015-05-07,0
3972,"Chapman, Jenny",Darlington,Labour,,F,2010-05-06,1789
4419,"Cherry, Joanna",Edinburgh South West,Scottish National Party,,F,2015-05-07,0
3987,"Chishti, Rehman",Gillingham and Rainham,Conservative,,M,2010-05-06,1789
242,"Chope, Mr Christopher",Christchurch,Conservative,,M,1983-06-09,17944
4380,"Churchill, Jo",Bury St Edmunds,Conservative,,F,2015-05-07,0
1578,"Clark, Greg",Tunbridge Wells,Conservative,,M,2005-05-05,3592
366,"Clarke, Mr Kenneth",Rushcliffe,Conservative,,M,1970-06-18,16120
1563,"Clegg, Mr Nick","Sheffield, Hallam",Liberal Democrat,,M,2005-05-05,3592
4366,"Cleverly, James",Braintree,Conservative,,M,2015-05-07,0
249,"Clifton-Brown, Geoffrey",The Cotswolds,Conservative,,M,1992-04-09,8295
553,"Clwyd, Ann",Cynon Valley,Labour,,F,1984-05-03,11145
360,"Coaker, Vernon",Gedling,Labour,,M,1997-05-01,6470
458,"Coffey, Ann",Stockport,Labour,,F,1992-04-09,8295
